seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,n_rejected,runtime_ms
71,100,randomized_negative_control,stability_top3_jaccard,0.2724489795918368,0.2336734693877551,0.313265306122449,98,0.98,2,24.30159999858006
71,200,exact_linear,deletion_fidelity_aopc_at_3,1.6852045490638152,1.5479800263663115,1.820935958238117,200,0.99,2,24.287300000651157
71,200,exact_linear,stability_top3_jaccard,0.952020202020202,0.9292929292929293,0.9722222222222222,198,0.99,2,22.21280000048864
71,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6594364706892599,0.5812972796239831,0.7496864007534512,200,0.99,2,23.726499999611406
71,200,randomized_negative_control,stability_top3_jaccard,0.28484848484848485,0.25757575757575757,0.31112373737373744,198,0.99,2,29.47870000025432
83,50,exact_linear,deletion_fidelity_aopc_at_3,1.7465789517394168,1.4861523534690733,2.0329042725543816,50,1.0,0,19.298999999591615
83,50,exact_linear,stability_top3_jaccard,0.92,0.86,0.97,50,1.0,0,19.091099999059225
83,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6505793595154473,0.4880116235958361,0.8187991868997475,50,1.0,0,23.29269999972894
83,50,randomized_negative_control,stability_top3_jaccard,0.256,0.2,0.30804999999999993,50,1.0,0,24.67640000031679
83,100,exact_linear,deletion_fidelity_aopc_at_3,1.7948031019013393,1.604639830290042,1.9990006421757203,100,1.0,0,24.703300001419848
83,100,exact_linear,stability_top3_jaccard,0.94,0.905,0.97,100,1.0,0,23.07230000042182
83,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6478391849484301,0.5401182089020234,0.7704206509355225,100,1.0,0,26.43510000052629
83,100,randomized_negative_control,stability_top3_jaccard,0.262,0.22699999999999998,0.298,100,1.0,0,24.161999999705586
83,200,exact_linear,deletion_fidelity_aopc_at_3,1.8495806237487131,1.6929753403068422,2.0004904178280456,200,0.975,5,23.245500000484753
83,200,exact_linear,stability_top3_jaccard,0.9538461538461539,0.9332692307692307,0.9743589743589743,195,0.975,5,21.392500000729342
83,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7016430344657073,0.619999664413869,0.7828185201832845,200,0.975,5,22.9656999999861
83,200,randomized_negative_control,stability_top3_jaccard,0.2671794871794872,0.24256410256410257,0.2913076923076923,195,0.975,5,28.914799999256502
97,50,exact_linear,deletion_fidelity_aopc_at_3,1.7011165303262823,1.437103455665165,1.9908549989117545,50,0.96,2,20.64550000068266
97,50,exact_linear,stability_top3_jaccard,0.96875,0.9270833333333334,1.0,48,0.96,2,20.09870000074443
97,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8331200866979761,0.6743640105268065,0.9882884752418732,50,0.96,2,20.221200000378303
97,50,randomized_negative_control,stability_top3_jaccard,0.24791666666666665,0.1916145833333333,0.30833333333333335,48,0.96,2,21.05660000052012
97,100,exact_linear,deletion_fidelity_aopc_at_3,1.688559182514566,1.5111377061945632,1.8597439645666995,100,0.97,3,21.616699999867706
97,100,exact_linear,stability_top3_jaccard,0.9742268041237113,0.9484536082474226,0.9948453608247423,97,0.97,3,19.861000000673812
97,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7980546865820556,0.6820654716275737,0.9246843285784665,100,0.97,3,21.135000000867876
97,100,randomized_negative_control,stability_top3_jaccard,0.2701030927835052,0.2288659793814433,0.31340206185567016,97,0.97,3,23.68199999909848
97,200,exact_linear,deletion_fidelity_aopc_at_3,1.7057576122297087,1.5759535490031855,1.8334510531783164,200,0.98,4,25.06309999989753
97,200,exact_linear,stability_top3_jaccard,0.9642857142857143,0.9438775510204082,0.9795918367346939,196,0.98,4,21.457300001202384
97,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7676093791851192,0.680469103758721,0.8576152737785259,200,0.98,4,22.862600000735256
97,200,randomized_negative_control,stability_top3_jaccard,0.275,0.2469387755102041,0.30561224489795924,196,0.98,4,29.93879999849014
101,50,exact_linear,deletion_fidelity_aopc_at_3,1.858491067594796,1.599213856192168,2.1397183771716732,50,0.96,2,27.781300001151976
