seed,sample_size,explainer,metric,estimate,ci_low,ci_high,n,prediction_preservation_rate,runtime_ms
71,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.6945210869125827,0.5947431302459014,0.7994972946102928,200,0.995,5.297729000005802
71,200,randomized_negative_control,stability_top3_jaccard,0.2633165829145729,0.23315326633165828,0.29195979899497493,199,0.995,5.297729000005802
83,50,exact_linear,deletion_fidelity_aopc_at_3,1.7465789517394168,1.4861523534690735,2.032904272554382,50,1.0,1.232826000006071
83,50,exact_linear,stability_top3_jaccard,0.98,0.95,1.0,50,1.0,1.232826000006071
83,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.8437649453733796,0.6159685351003307,1.0960416288224295,50,1.0,1.4641590000223914
83,50,randomized_negative_control,stability_top3_jaccard,0.266,0.204,0.33799999999999997,50,1.0,1.4641590000223914
83,100,exact_linear,deletion_fidelity_aopc_at_3,1.7948031019013397,1.6046398302900426,1.9990006421757205,100,1.0,2.369255999980169
83,100,exact_linear,stability_top3_jaccard,0.97,0.945,0.99,100,1.0,2.369255999980169
83,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7096018653885798,0.5908057181195548,0.8360377938771965,100,1.0,2.7164359999858334
83,100,randomized_negative_control,stability_top3_jaccard,0.267,0.233,0.30202500000000004,100,1.0,2.7164359999858334
83,200,exact_linear,deletion_fidelity_aopc_at_3,1.8495806237487133,1.6929753403068422,2.000490417828046,200,0.98,4.647914000003084
83,200,exact_linear,stability_top3_jaccard,0.9642857142857143,0.9438775510204082,0.9795918367346939,196,0.98,4.647914000003084
83,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7987876063930127,0.6972705291018719,0.9040296596273572,200,0.98,5.42457699998522
83,200,randomized_negative_control,stability_top3_jaccard,0.24744897959183676,0.22294642857142855,0.2724617346938776,196,0.98,5.42457699998522
97,50,exact_linear,deletion_fidelity_aopc_at_3,1.701116530326282,1.437103455665165,1.990854998911754,50,1.0,1.3345399999877827
97,50,exact_linear,stability_top3_jaccard,0.99,0.97,1.0,50,1.0,1.3345399999877827
97,50,randomized_negative_control,deletion_fidelity_aopc_at_3,0.5782820320241293,0.43654862405249145,0.7389251292044482,50,1.0,1.559613999972953
97,50,randomized_negative_control,stability_top3_jaccard,0.2799999999999999,0.23199999999999996,0.336,50,1.0,1.559613999972953
97,100,exact_linear,deletion_fidelity_aopc_at_3,1.6885591825145658,1.5111377061945632,1.8597439645666993,100,0.97,2.3275629999943703
97,100,exact_linear,stability_top3_jaccard,0.9639175257731959,0.9329896907216495,0.9896907216494846,97,0.97,2.3275629999943703
97,100,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7228046180887282,0.620492452127497,0.8331563765383843,100,0.97,2.7626550000263705
97,100,randomized_negative_control,stability_top3_jaccard,0.2618556701030928,0.21853092783505154,0.3082474226804124,97,0.97,2.7626550000263705
97,200,exact_linear,deletion_fidelity_aopc_at_3,1.7057576122297087,1.5759535490031853,1.8334510531783164,200,0.985,4.567820999994865
97,200,exact_linear,stability_top3_jaccard,0.9644670050761421,0.9441624365482234,0.9822335025380711,197,0.985,4.567820999994865
97,200,randomized_negative_control,deletion_fidelity_aopc_at_3,0.7219620587444945,0.6422667200745965,0.7987687611650428,200,0.985,5.242028999987269
97,200,randomized_negative_control,stability_top3_jaccard,0.27258883248730964,0.2441624365482234,0.3020558375634518,197,0.985,5.242028999987269
101,50,exact_linear,deletion_fidelity_aopc_at_3,1.858491067594796,1.599213856192168,2.1397183771716732,50,1.0,1.232324999989487
101,50,exact_linear,stability_top3_jaccard,1.0,1.0,1.0,50,1.0,1.232324999989487
